,ISO3,Year,"GDP per capita, PPP (constant 2021 international $)",Country ID,Country,"Life expectancy at birth, total (years)",Capital City,longitude,latitude,Region,Income Level,Lending Type
0,ABW,1960,,AW,Aruba,64.049,Oranjestad,-70.0167,12.5167,Latin America & Caribbean ,High income,Not classified
1,ABW,1961,,AW,Aruba,64.215,Oranjestad,-70.0167,12.5167,Latin America & Caribbean ,High income,Not classified
2,ABW,1962,,AW,Aruba,64.602,Oranjestad,-70.0167,12.5167,Latin America & Caribbean ,High income,Not classified
3,ABW,1963,,AW,Aruba,64.944,Oranjestad,-70.0167,12.5167,Latin America & Caribbean ,High income,Not classified
4,ABW,1964,,AW,Aruba,65.303,Oranjestad,-70.0167,12.5167,Latin America & Caribbean ,High income,Not classified
5,ABW,1965,,AW,Aruba,65.615,Oranjestad,-70.0167,12.5167,Latin America & Caribbean ,High income,Not classified
6,ABW,1966,,AW,Aruba,66.126,Oranjestad,-70.0167,12.5167,Latin America & Caribbean ,High income,Not classified
7,ABW,1967,,AW,Aruba,66.385,Oranjestad,-70.0167,12.5167,Latin America & Caribbean ,High income,Not classified
8,ABW,1968,,AW,Aruba,66.744,Oranjestad,-70.0167,12.5167,Latin America & Caribbean ,High income,Not classified
9,ABW,1969,,AW,Aruba,67.098,Oranjestad,-70.0167,12.5167,Latin America & Caribbean ,High income,Not classified
10,ABW,1970,,AW,Aruba,67.44,Oranjestad,-70.0167,12.5167,Latin America & Caribbean ,High income,Not classified
11,ABW,1971,,AW,Aruba,67.783,Oranjestad,-70.0167,12.5167,Latin America & Caribbean ,High income,Not classified
12,ABW,1972,,AW,Aruba,68.335,Oranjestad,-70.0167,12.5167,Latin America & Caribbean ,High income,Not classified
13,ABW,1973,,AW,Aruba,68.862,Oranjestad,-70.0167,12.5167,Latin America & Caribbean ,High income,Not classified
14,ABW,1974,,AW,Aruba,69.278,Oranjestad,-70.0167,12.5167,Latin America & Caribbean ,High income,Not classified
15,ABW,1975,,AW,Aruba,69.564,Oranjestad,-70.0167,12.5167,Latin America & Caribbean ,High income,Not classified
16,ABW,1976,,AW,Aruba,69.808,Oranjestad,-70.0167,12.5167,Latin America & Caribbean ,High income,Not classified
17,ABW,1977,,AW,Aruba,70.054,Oranjestad,-70.0167,12.5167,Latin America & Caribbean ,High income,Not classified
